rpm,torque
4100,33.187
4200,33.645
4300,34.556
4400,37.118
4500,39.497
4600,40.182
4700,40.662
4800,41.119
4900,41.514
5000,41.918
5100,42.274
5200,42.608
5300,42.836
5400,42.932
5500,43.027
5600,43.05
5700,43.05
5800,43.057
5900,43.081
6000,43.102
6100,43.117
6200,43.111
6300,42.934
6400,42.719
6500,42.423
6600,42.108
6700,41.538
6800,41.047
6900,40.542
7000,40.031
7100,39.571
7200,39.249
7300,39.021
7400,39.066
7500,39.56
7600,40.563
7700,42.139
7800,43.466
7900,45.316
8000,47.019
8100,48.517
8200,49.721
8300,50.43
8400,51.028
8500,51.181
8600,51.1
8700,50.841
8800,50.682
8900,50.51
9000,50.498
9100,50.602
9200,50.958
9300,51.212
9400,51.49
9500,51.823
9600,52.154
9700,52.499
9800,52.706
9900,52.89
10000,52.933
10100,52.914
10200,52.804
10300,52.609
10400,52.332
10500,51.911
10600,51.466
10700,51.039
10800,50.674
10900,50.345
11000,50.095
11100,49.867
11200,49.64
11300,49.44
11400,49.179
11500,48.876
11600,48.603
11700,48.261
11800,47.903
11900,47.51
12000,47.074
12100,46.608
12200,46.131
12300,45.659
12400,45.179
12500,44.621
12600,43.975
12700,43.278
12800,42.577
12900,41.789
13000,40.94
13100,40.156
13200,39.512
13300,38.927
13400,38.481
13500,38.048
13600,37.576
13700,37.192
13800,36.792
13900,36.478
14000,36.142
14100,35.764
14200,35.42
14300,34.989
14400,34.547
14500,34.025
14600,33.414
14700,32.795
14800,31.958
14900,31.175
15000,30.322
